country,name,type,rank
andorra,da Costa,s,32
andorra,Pujol,s,33
andorra,Pons,s,34
andorra,Alves,s,35
andorra,Baro,s,36
andorra,dos Santos,s,37
andorra,Martins,s,38
andorra,Muñoz,s,39
andorra,Tomas,s,40
andorra,Ramos,s,41
andorra,Ribeiro,s,42
andorra,Babot,s,43
andorra,Mas,s,44
andorra,Ros,s,45
andorra,Alonso,s,46
andorra,Roca,s,47
andorra,Navarro,s,48
andorra,Grau,s,49
andorra,Farre,s,50
andorra,Calvo,s,51
andorra,Iglesias,s,52
andorra,Mora,s,53
andorra,Ferrer,s,54
andorra,Castro,s,55
andorra,Pires,s,56
andorra,Marti,s,57
andorra,Pinto,s,58
andorra,Puig,s,59
andorra,Romero,s,60
andorra,Teixeira,s,61
andorra,Diaz,s,62
andorra,Duro,s,63
andorra,de Sousa,s,64
andorra,Coll,s,65
andorra,Sole,s,66
andorra,Mandico,s,67
andorra,Marin,s,68
andorra,Gil,s,69
andorra,Soler,s,70
andorra,Blanco,s,71
andorra,de Oliveira,s,72
andorra,Hernandez,s,73
andorra,Cerqueda,s,74
andorra,Correia,s,75
andorra,Casas,s,76
andorra,Costa,s,77
andorra,Travesset,s,78
andorra,Cortes,s,79
andorra,Lopes,s,80
andorra,Palmitjavila,s,81
andorra,Gutierrez,s,82
andorra,Sola,s,83
andorra,Capdevila,s,84
andorra,Ramirez,s,85
andorra,Nuñez,s,86
andorra,Call,s,87
andorra,Marques,s,88
andorra,Pla,s,89
andorra,Bernat,s,90
andorra,Jordana,s,91
andorra,Vicente,s,92
andorra,Coma,s,93
andorra,Mendes,s,94
andorra,Molne,s,95
andorra,Montane,s,96
andorra,Rubio,s,97
andorra,Martos,s,98
andorra,Fite,s,99
andorra,Sansa,s,100
anguilla,James,f,1
anguilla,John,f,2
anguilla,Joseph,f,3
anguilla,George,f,4
anguilla,Sandra,f,5
anguilla,David,f,6
anguilla,Charles,f,7
anguilla,Jacqueline,f,8
anguilla,Michael,f,9
anguilla,Kenneth,f,10
anguilla,Patricia,f,11
anguilla,Sharon,f,12
anguilla,Kevin,f,13
anguilla,Mary,f,14
anguilla,Carol,f,15
anguilla,Samuel,f,16
anguilla,William,f,17
anguilla,Joan,f,18
anguilla,Ruth,f,19
anguilla,Susan,f,20
anguilla,Thomas,f,21
anguilla,Vernon,f,22
anguilla,Violet,f,23
anguilla,Karen,f,24
anguilla,Maria,f,25
anguilla,Albert,f,26
anguilla,Brenda,f,27
anguilla,Carl,f,28
anguilla,Carmen,f,29
anguilla,Angela,f,30
anguilla,Calvin,f,31
anguilla,Cynthia,f,32
anguilla,Gloria,f,33
anguilla,Jason,f,34
anguilla,Leroy,f,35
anguilla,Lisa,f,36
anguilla,Shirley,f,37
anguilla,Andrea,f,38
anguilla,Anthony,f,39
anguilla,Elizabeth,f,40
anguilla,Franklyn,f,41
anguilla,Kathleen,f,42
anguilla,Keith,f,43
anguilla,Kishma,f,44
anguilla,Jane,f,45
anguilla,Joycelyn,f,46
anguilla,Juan,f,47
anguilla,Marie,f,48
anguilla,Patrick,f,49
anguilla,Robert,f,50
anguilla,Rose,f,51
anguilla,Trevor,f,52
anguilla,Tyrone,f,53
anguilla,Bernard,f,54
anguilla,Margaret,f,55
anguilla,Bernice,f,56
anguilla,Daniel,f,57
anguilla,Jerome,f,58
anguilla,Marilyn,f,59
anguilla,Sonia,f,60
anguilla,Curtis,f,61
anguilla,Denise,f,62
anguilla,Franklin,f,63
anguilla,Janice,f,64
anguilla,Jasmine,f,65
anguilla,Joyce,f,66
anguilla,Judith,f,67
anguilla,Leonard,f,68
anguilla,Maureen,f,69
anguilla,Roy,f,70
anguilla,Sheila,f,71
anguilla,Sylvia,f,72
anguilla,Catherine,f,73
anguilla,Charmaine,f,74
anguilla,Conrad,f,75
anguilla,Dwayne,f,76
anguilla,Marcia,f,77
